flight_id,airline,source,destination,departure_time,arrival_time,duration,duration_minutes,route,is_anomaly,invalid_flight_id
UK167,Vistara,DEL,MAA,2026-04-20T22:45:41.703Z,2026-04-21T01:46:41.703Z,1899-12-31 03:01:00.0000000,181,DEL - MAA,false,false
SJ023,SpiceJet,HYD,MAA,2026-04-20T17:27:41.701Z,2026-04-20T19:09:41.701Z,1899-12-31 01:42:00.0000000,102,HYD - MAA,false,false
UK207,Vistara,MAA,CCU,2026-04-20T16:21:41.703Z,2026-04-20T17:36:41.703Z,1899-12-31 01:15:00.0000000,75,MAA - CCU,false,false
SJ088,SpiceJet,CCU,MAA,2026-04-20T13:54:41.702Z,2026-04-20T14:26:41.702Z,1899-12-31 00:32:00.0000000,32,CCU - MAA,false,false
UK134,Vistara,HYD,CCU,2026-04-20T13:44:41.702Z,2026-04-20T17:26:41.702Z,1899-12-31 03:42:00.0000000,222,HYD - CCU,false,false
UK212,Vistara,HYD,MAA,2026-04-20T10:46:41.704Z,2026-04-20T11:31:41.704Z,1899-12-31 00:45:00.0000000,45,HYD - MAA,false,false
6F209,IndiGo,MAA,CCU,2026-04-20T08:40:41.703Z,2026-04-20T13:40:41.703Z,1899-12-31 05:00:00.0000000,300,MAA - CCU,false,false
UK193,Vistara,HYD,DEL,2026-04-20T08:39:41.703Z,2026-04-20T09:14:41.703Z,1899-12-31 00:35:00.0000000,35,HYD - DEL,false,false
6F092,IndiGo,MAA,BLR,2026-04-20T08:39:41.702Z,2026-04-20T09:15:41.702Z,1899-12-31 00:36:00.0000000,36,MAA - BLR,false,false
SJ061,SpiceJet,MAA,BLR,2026-04-20T06:38:41.701Z,2026-04-20T09:35:41.701Z,1899-12-31 02:57:00.0000000,177,MAA - BLR,false,false
AI164,Air India,DEL,BLR,2026-04-20T03:57:41.703Z,2026-04-20T05:45:41.703Z,1899-12-31 01:48:00.0000000,108,DEL - BLR,false,false
6F036,IndiGo,CCU,BLR,2026-04-20T02:14:41.701Z,2026-04-20T06:57:41.701Z,1899-12-31 04:43:00.0000000,283,CCU - BLR,false,false
SJ146,SpiceJet,HYD,BLR,2026-04-19T22:37:41.702Z,2026-04-20T00:33:41.702Z,1899-12-31 01:56:00.0000000,116,HYD - BLR,false,false
SJ163,SpiceJet,DEL,HYD,2026-04-19T18:32:41.703Z,2026-04-19T23:08:41.703Z,1899-12-31 04:36:00.0000000,276,DEL - HYD,false,false
AI122,Air India,BOM,CCU,2026-04-19T18:25:41.702Z,2026-04-19T22:36:41.702Z,1899-12-31 04:11:00.0000000,251,BOM - CCU,false,false
UK105,Vistara,CCU,HYD,2026-04-19T17:04:41.702Z,2026-04-19T18:11:41.702Z,1899-12-31 01:07:00.0000000,67,CCU - HYD,false,false
